,１,２,３,４,５,６,７,８,９,１０
音読み,いち,に,さん,し,ご,ろく,しち,はち,きゅう/く,じゅう
和語,ひと,ふた,み,よ/よん,いつ,む,なな,や,ここの,と
つ,ひとつ,ふたつ,みっつ,よっつ,いつつ,むっつ,ななつ,やっつ,ここのつ,とお
百,＊ひゃく＊,２百,３＊びゃく＊,よん百,５百,＊ろっぴゃく＊,なな百,＊はっぴゃく＊,きゅう百,
はい,＊いっぱい＊,２杯,３＊ばい＊,よん杯,５杯,＊ろっぱい＊,なな杯,＊はっぱい＊,きゅう杯,＊じゅっぱい＊
ひき,＊いっぴき＊,２匹,３＊びき＊,よん匹,５匹,＊ろっぴき＊,なな匹,＊はっぴき＊,きゅう匹,＊じゅっぴき＊
ほん,＊いっぽん＊,２本,３＊ぼん＊,よん本,５本,＊ろっぽん＊,なな本,＊はっぽん＊,きゅう本,＊じっぽん＊
千,＊せん＊,２千,３＊ぜん＊,よん千,５千,６千,なな千,＊はっ＊千,きゅう千,
ねん,１年,２年,３年,＊よ＊年,５年,６年,なな年,８年,く年,１０年
にん,＊ひとり＊,＊ふたり＊,３人,＊よ＊人,５人,６人,なな個,８人,きゅう人,１０人
がつ,１月,２月,３月,し月,５月,６月,しち月,８月,く月,１０月
かげつ,＊いっ＊ヶ月,２ヶ月,３ヶ月,よんヶ月,５ヶ月,＊ろっ＊ヶ月,ななヶ月,８ヶ月,きゅうヶ月,＊じゅっ＊ヶ月
しゅう,＊いっ＊週,２週,３週,よん週,５週,６週,なな週,＊はっ＊週,きゅう週,＊じっ＊週
１ー１０か,＊ついたち/いちたち＊,ふつか,みっか,よっか,いつか,むいか,なのか,ようか,ここのか,とおか
１１ー２０にち,１１にち,１２にち,１３にち,じゅう＊よっか＊,１５にち,１６にち,じゅう＊しち＊にち,１８にち,じゅう＊く＊にち,＊はつか＊
２１ー３０にち,２１にち,２２にち,２３にち,にじゅう＊よっか＊,２５にち,２６にち,にじゅう＊しち＊にち,２８にち,にじゅう＊く＊にち,３０にち
１ー１０じ,１時,２時,３時,＊よ＊時,５時,６時,しち時,８時,く時,１０時
１１ー２０時,１１時,１２時,１３時,じゅう＊よ＊時,１５時,１６時,じゅうしち時/じゅうなな時,１８時,じゅうく時,２０時
２１ー２４時,２１時,２２時,２３時,にじゅう＊よ＊時/＊れい＊時
ふん,＊いっぷん＊,２分,３＊ぷん＊,よん＊ぷん＊,５分,＊ろっぷん＊,なな分,＊はっ＊分,きゅう分,＊じっぷん＊
とう,＊いっ＊頭,２頭,３頭,よん頭,５頭,６頭,なな頭,８頭,きゅう頭,１０頭
こ,＊いっ＊個,２個,３個,よん個,５個,＊ろっ＊個,なな個,＊はっ＊個,きゅう個,＊じっ＊個
